,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
357,178.5s - 179.0s,95,0.0052752109368421046,1037.0842105263157,30,65,0.015517396034482545,0.007668049562500112,899.4666666666667,1100.6,0
358,179.0s - 179.5s,86,0.005802135593023255,971.2093023255813,22,64,0.02142658099999938,0.007834551444444417,553.6818181818181,1114.734375,0
359,179.5s - 180.0s,77,0.006252568233766234,1057.2467532467533,12,65,0.03636714581818203,0.0073637880156249835,535.75,1153.5230769230768,0
360,180.0s - 180.5s,117,0.004448153632478631,1134.6837606837607,51,66,0.009410909599999968,0.00741593527692299,1131.5686274509803,1137.090909090909,0
361,180.5s - 181.0s,151,0.003246834112582783,1166.3112582781457,90,61,0.005396438235955179,0.007304854983333086,1207.5555555555557,1105.4590163934427,0
362,181.0s - 181.5s,160,0.0031318144187500014,1175.75,90,70,0.00551515992134838,0.007115030420289957,1225.6555555555556,1111.5857142857142,0
363,181.5s - 182.0s,142,0.0035469811971830982,1159.119718309859,79,63,0.006034454807692377,0.007959269032257925,1213.6455696202531,1090.7460317460318,0
364,182.0s - 182.5s,133,0.0037208156691729334,1140.2932330827068,70,63,0.006619812695652255,0.0074488392580641695,1177.1714285714286,1099.3174603174602,0
365,182.5s - 183.0s,144,0.00335015953472222,1194.9375,82,62,0.005549472382716237,0.007377594999999955,1224.878048780488,1155.3387096774193,0
366,183.0s - 183.5s,133,0.003915270661654136,1158.6466165413533,66,67,0.006941019153846093,0.007432883106060882,1194.409090909091,1123.4179104477612,0
367,183.5s - 184.0s,115,0.004350098408695655,1092.5391304347827,52,63,0.009027269000000058,0.007192664419355127,1057.076923076923,1121.8095238095239,0
368,184.0s - 184.5s,162,0.003126771512345679,1203.6728395061727,95,67,0.005117016106382871,0.007521217090908984,1265.0947368421052,1116.5820895522388,0
369,184.5s - 185.0s,161,0.00300864802484472,1159.5093167701864,94,67,0.005166212655913958,0.007125035803030521,1207.3936170212767,1092.3283582089553,0
370,185.0s - 185.5s,136,0.003754792661764707,1165.1029411764705,76,60,0.006538592360000166,0.007977657372881055,1167.421052631579,1162.1666666666667,0
371,185.5s - 186.0s,154,0.003097265435064933,1188.9415584415585,90,64,0.005056121561797558,0.007408946174603133,1241.1666666666667,1115.5,0
372,186.0s - 186.5s,166,0.003071613283132529,1169.9156626506024,99,67,0.004704617397959162,0.00724642186363648,1224.0,1090.0,0
373,186.5s - 187.0s,148,0.0034747438040540553,1180.7567567567567,83,65,0.005981489560975582,0.007520377515624954,1238.6746987951808,1106.8,0
374,187.0s - 187.5s,151,0.0033230313311258287,1212.9337748344371,90,61,0.005409039044943877,0.008195215950000072,1251.6666666666667,1155.7868852459017,0
375,187.5s - 188.0s,150,0.0033317035533333324,1186.5933333333332,86,64,0.005653056517647147,0.007768713460317186,1207.6046511627908,1158.359375,0
376,188.0s - 188.5s,90,0.005274759411111108,1045.3111111111111,27,63,0.01482999215384513,0.007338813693548313,842.074074074074,1132.4126984126983,0
377,188.5s - 189.0s,115,0.004421734852173913,1076.4173913043478,52,63,0.006583776960783838,0.007642677806451788,1076.0192307692307,1076.7460317460318,0
378,189.0s - 189.5s,182,0.002799447807692309,1190.2637362637363,114,68,0.004272252123893751,0.007242851940298355,1241.9736842105262,1103.5735294117646,0
379,189.5s - 190.0s,144,0.003183330694444443,1183.8194444444443,85,59,0.005240746464285586,0.007403355086206739,1236.6588235294118,1107.6949152542372,0
380,190.0s - 190.5s,172,0.003205616209302327,1190.1976744186047,101,71,0.004261735080000051,0.006947911142857167,1233.881188118812,1128.056338028169,0
381,190.5s - 191.0s,120,0.004164871758333333,1106.5833333333333,56,64,0.009076849872727425,0.007630429698412486,1094.9285714285713,1116.78125,0
382,191.0s - 191.5s,104,0.004718127125000001,1077.9326923076924,38,66,0.011087574783783947,0.007390891876922996,1000.2894736842105,1122.6363636363637,0
383,191.5s - 192.0s,118,0.004153098135593221,1095.1016949152543,59,59,0.008282441431034692,0.008259147827586319,1061.7288135593221,1128.4745762711864,0
384,192.0s - 192.5s,85,0.0059426496941176465,1028.1411764705883,16,69,0.0216648497333324,0.00702244601470588,531.25,1143.3623188405797,0
385,192.5s - 193.0s,159,0.003200030597484276,1144.5408805031448,92,67,0.005104751714285909,0.007266365181818181,1176.5326086956522,1100.6119402985075,0
386,193.0s - 193.5s,122,0.004079527336065573,1194.4262295081967,63,59,0.005910510661290082,0.007706322913793037,1237.2380952380952,1148.7118644067796,0
387,193.5s - 194.0s,150,0.0033459058133333336,1189.3466666666666,85,65,0.0038850975238093255,0.007424592546874997,1261.6117647058823,1094.8461538461538,0
388,194.0s - 194.5s,142,0.0034432384647887326,1158.838028169014,84,58,0.005006100457831327,0.007396166087719473,1184.142857142857,1122.1896551724137,0
389,194.5s - 195.0s,93,0.005488424526881719,1060.1827956989248,26,67,0.01676944339999977,0.007227466151515173,934.2692307692307,1109.044776119403,0
390,195.0s - 195.5s,127,0.003943633874015749,1145.732283464567,56,71,0.008364345836363637,0.006879984871428795,1217.267857142857,1089.3098591549297,0
391,195.5s - 196.0s,128,0.003908415179687501,1149.6015625,61,67,0.007009054866666513,0.007213958454545119,1159.8524590163934,1140.2686567164178,0
392,196.0s - 196.5s,95,0.00517258105263158,998.7578947368421,30,65,0.01623220503448261,0.007515954421875026,762.2,1107.9384615384615,0
393,196.5s - 197.0s,81,0.006249221962962963,1002.7530864197531,17,64,0.02752955431249937,0.007251862952380684,497.47058823529414,1136.96875,0
394,197.0s - 197.5s,106,0.004728403160377359,1105.4056603773586,40,66,0.011549036641025186,0.0074774677230769054,1058.375,1133.909090909091,0
395,197.5s - 198.0s,88,0.005715033409090909,1026.9431818181818,24,64,0.01739100747826065,0.007822620761904394,850.125,1093.25,0
